sector,sept2019,sept2020,change,rank,Incident,emp_rank
Cyber Defense,3.7,6.1,2.4,14,48932,23
Threat Intelligence,5.3,8.7,3.4,26,31245,45
Incident Response,2.4,4.2,1.8,7,40123,37
Security Operations,2.4,4.4,2,10,27890,50
Penetration Testing,6.2,7.2,1,3,35012,41
Vulnerability Management,3.4,4.1,0.7,2,49210,19
Identity Management,3.9,8.2,4.3,38,15023,51
Access Control,3.5,5.3,1.8,7,21034,44
Application Security,3.5,10.5,7,48,32001,36
Cloud Security,2.6,6,3.4,26,49999,1
Network Security,2.9,6.1,3.2,23,42000,10
Endpoint Security,2.7,15.1,12.4,51,18000,49
Data Loss Prevention,2.9,6.1,3.2,23,25000,40
SIEM,3,3.5,0.5,1,47000,7
SOC Automation,5,8.6,3.6,30,39000,13
Forensics,4.8,9.4,4.6,41,22000,38
Red Team,3.7,12.6,8.9,50,33000,2
Blue Team,2.5,5,2.5,15,27000,27
Purple Team,3.1,5.9,2.8,17,41000,12
Security Awareness,3.6,7.3,3.7,32,36000,32
Risk Management,5.6,7.1,1.5,5,48000,5
Compliance,2.8,4.7,1.9,9,26000,28
GRC,3.7,7.8,4.1,37,34000,9
DevSecOps,3.3,5.3,2,10,37000,26
Zero Trust,3.5,8,4.5,40,32000,24
IoT Security,4.3,5.6,1.3,4,15000,48
OT Security,5.1,8.1,3,19,38000,6
Mobile Security,2.4,5.1,2.7,16,49000,3
Cryptography,2.7,6.6,3.9,36,43000,16
PKI,2.6,6.4,3.8,35,35000,21
Firewall Management,3.2,6,2.8,17,41000,14
IDS/IPS,3.4,5.4,2,10,39000,18
DDoS Protection,3.5,7.2,3.7,32,37000,8
Web Security,3.3,4.9,1.6,6,22000,47
Email Security,3.3,6.3,3,19,20000,46
Phishing Defense,4.6,6.7,2.1,13,44000,11
Malware Analysis,3.2,6.2,3,19,35000,25
Ransomware Response,2.8,9.6,6.8,47,26000,29
Insider Threat,4.1,7.8,3.7,32,39000,15
Supply Chain Security,2.7,6.2,3.5,28,42000,20
Third Party Risk,3.6,6.7,3.1,22,31000,39
Security Analytics,3.7,7.3,3.6,30,27000,30
Security Automation,3.9,8.5,4.6,41,25000,42
Security Orchestration,4.1,8.4,4.3,38,23000,43
Security Testing,4.6,8.1,3.5,28,21000,35
Security Monitoring,3.7,10.2,6.5,46,20000,34
Security Policy,2.9,7.6,4.7,43,18000,22
Security Training,3.9,9.7,5.8,45,17000,4
Security Consulting,3.5,8.3,4.8,44,16000,17
Security Auditing,3.9,11,7.1,49,15000,31