location,advertiser_count
US,1115
DE,860
FR,758
TR,684
IT,558
ES,506
PL,481
GB,434
NL,413
BR,248
CZ,231
SE,181
RO,175
HU,158
CA,149
CH,147
GR,137
DK,136
BE,132
UA,131
CN,130
PT,129
AT,123
AU,109
FI,104
SK,93
NO,88
HK,86
IN,82
JP,80
BG,79
IE,64
AE,60
MX,54
VN,50
IL,47
LT,42
AR,42
LU,41
LV,39
CO,39
HR,38
TH,36
KR,36
EE,35
PK,33
SI,32
ZA,31
SG,29
CL,29
MA,28
TW,23
CY,23
ID,21
NZ,20
RS,20
MU,20
MY,19
KZ,19
PH,15
SA,15
IS,14
BY,14
EG,12
MD,12
PE,11
PA,11
RE,10
BA,9
EC,9
DO,9
LK,9
MT,7
NG,6
JO,6
BD,5
TN,5
Unknown,5
UY,5
LB,4
AM,4
PY,4
UZ,4
CR,4
GP,4
MQ,4
GE,4
NP,4
GT,4
NI,4
CM,4
KE,4
AN,3
GH,3
BH,3
GI,3
AZ,2
ME,2
SM,2
QA,2
BZ,2
AL,2
TZ,2
YE,2
CD,2
OM,2
KW,2
BJ,2
VE,1
TO,1
BO,1
MG,1
TJ,1
VI,1
JM,1
YT,1
BW,1
AD,1
AW,1
KY,1
PR,1
KH,1
MC,1
PF,1 